"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\RulesInterface.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 77, 10, 100
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\Traverser.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 51, 16, 143
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\.github\workflows\phpunit.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 45
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\bower.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\composer.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\index.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\AdobeFontMetrics.php", "PHP", 155, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49, 218
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Autoloader.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 43
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\BinaryStream.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 0, 86, 73, 450
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\EOT\File.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 70, 22, 160
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\EOT\Header.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 113
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\EncodingMap.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 38
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Exception\FontNotFoundException.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Font.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 90
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\Outline.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 110
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\OutlineComponent.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 31
"c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\OutlineComposite.php", "PHP", 181, 0, 0, 0, 0, 0, 0, 0, 0, 23, 38, 242
